case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9208917617797852,1.2116650899251302,0.7600217002510882,73.94551955204037,30,30,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17376426060994465,0.186026668548584,0.9340825267994476,49.48269091594726,30,30,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6388266245524088,1.8616490681966147,0.8803091047336571,83.88471717778326,30,30,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.286041259765625,26.596799850463867,0.800323399034579,103.31453587082892,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.47785813013712564,0.5547007878621419,0.8614700764692013,71.97385715741729,30,30,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.61759270562066,6.930739339192709,0.8105329649109263,97.88713073943751,18,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.664187749226888,2.0194901784261066,0.8240633041968423,82.66685730856435,30,30,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,16.96362086704799,26.60812759399414,0.6375353097328403,32.42375278572913,7,4,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.795033582051595,1.646890640258789,0.48274825456938963,32.434580845575574,30,30,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.6730154673258464,1.2318720499674478,0.5463355283883832,29.43423851863565,30,30,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.7371264139811198,1.1843583424886068,0.6223846175071045,29.14456011957571,30,30,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,1.170158894856771,0.875332260131836,1.336816827338833,40.27938292411918,30,30,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.0452949325243632,0.05297493139902751,0.8550257891451409,12.1580710536171,30,30,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.010496000448862711,0.018986666202545167,0.5528090259181846,0.0015609755430007896,30,30,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.021230934063593547,0.025053866704305015,0.8474114720162309,2.0882314394271093,30,30,1.0,0.0078125,0,True
