case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9200896263122559,1.209817600250244,0.76051929325705,74.00998536298022,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.17136640548706056,0.17547520399093627,0.976584734421577,50.1750805565519,10,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6363008499145508,1.8566015243530274,0.8813419726587561,84.0142006350354,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.330841064453125,26.588287353515625,0.8022645754064586,103.09755094208619,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.475545597076416,0.5496831893920898,0.8651266879788253,72.32385918709979,10,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.651609420776367,6.9303466796875,0.815487259438399,97.29795367572677,10,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6531967163085937,2.016511917114258,0.8198298766686246,83.21645563583367,10,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.856844711303711,7.211849212646484,0.81211413863636,93.9113595213568,10,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34736640453338624,0.3967871904373169,0.8754476276074794,74.2345277363217,10,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.286899209022522,0.3090431928634644,0.9283466377765336,69.04758594313486,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.33771519660949706,0.34106879234313964,0.9901673920073326,63.613439086193196,10,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6873087882995605,0.8704000473022461,0.7896470024672377,68.57656850949091,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04085760116577149,0.04780800044536591,0.8546184903186401,13.478495856025656,10,20,1.0,0.0078125,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.020608000457286835,0.02255360037088394,0.9137343979851297,2.151353989529025,10,20,1.0,0.0078125,0,True
