case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.907801628112793,1.2124159812927247,0.7487542577134787,75.01178414667835,10,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.16721919775009156,0.1730944037437439,0.9660577935127802,51.41947405375166,10,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6370943069458008,1.856959915161133,0.8815991630081828,83.97348113712016,10,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.25665283203125,26.581823348999023,0.799668726744123,103.45737358828814,5,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4719359874725342,0.5509888172149658,0.8565255277919923,72.87702932805401,10,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.60522232055664,6.9304662068684895,0.8087799800540898,98.10316168893578,10,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6572927474975585,2.015590476989746,0.8222368414702477,83.01078455072565,10,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.824025726318359,7.210971287318638,0.8076617551591989,94.44055970743388,10,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.34885120391845703,0.3955199956893921,0.8820064920116332,73.91856671943016,10,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2854399919509888,0.3089024066925049,0.9240458661596909,69.40056877314306,10,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.33728001117706297,0.34145278930664064,0.9877793409213292,63.69551819281067,10,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6795775890350342,0.8696448326110839,0.7814426804499277,69.35672830960608,10,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.04044800102710724,0.048179200291633605,0.8395324285640146,13.614986996043026,10,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01231359988451004,0.019123199582099914,0.6439089772422846,0.0013305613430407417,10,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.020556800067424774,0.022860799729824067,0.8992161389965064,2.1567123216932673,10,20,1.0,0.0078125,0,True
