case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.8757759928703308,1.209177589416504,0.7242740855732712,77.75483723048619,1,20,0.14358477294445038,4.2265625,13094931,False
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.19148799777030945,0.17363200187683106,1.1028381617470773,44.90267431963919,1,20,0.19337797164916992,3.4921875,449819,False
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.3731839656829834,1.8563583374023438,0.7397192330897275,100.11222919838349,1,20,0.3527045249938965,3.328125,477334,False
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,17.131776809692383,26.58847999572754,0.644330808396917,128.3671564081909,1,4,0.6077966690063477,3.578125,468692,False
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.5125120282173157,0.5513599872589111,0.9295415700462265,67.10728901257423,1,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,4.611072063446045,6.938368225097657,0.6645758647929275,119.25426973376001,1,15,0.35257065296173096,4.0078125,1879511,False
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.7111040353775024,2.017344093322754,0.8481964187671893,80.4002377153232,1,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,4.825088024139404,7.219583783830915,0.6683332680404294,113.9925834704542,1,14,0.2604924440383911,4.21875,7534322,False
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3903999924659729,0.3968384027481079,0.9837757378379991,66.05169438943457,1,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.3256320059299469,0.31004159450531005,1.0502849027386545,60.83461524436776,1,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3829759955406189,0.34120960235595704,1.1224068516720414,56.09548728419315,1,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6640639901161194,0.8715904235839844,0.7618991353593408,70.97701262156707,1,20,0.13888423144817352,4.21875,10457008,False
13,ragged_short,15,123,969,969,123,123,33612,0.08243200182914734,0.0483711987733841,1.7041546192670534,6.680645814490908,1,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.044544000178575516,0.021478399634361267,2.0738975406395626,0.0003678160904794597,1,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.059647999703884125,0.024063999950885772,2.4787233970090057,0.7432789736470075,1,20,1.0,0.0078125,0,True
