case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9186986287434896,1.2103551864624023,0.7590322568275519,74.12204355756481,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.1792853275934855,0.17323520183563232,1.0349243438616686,47.95887826077982,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.6487253506978352,1.8546943664550781,0.8889471928731221,83.38108457288762,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.24347686767578,26.602880477905273,0.7985404770479391,103.52154155265671,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.4759039878845215,0.5489664077758789,0.8669091243900193,72.26939398613646,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.597525278727214,6.939442952473958,0.8066245831348262,98.23806132788668,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.663658618927002,2.0161920547485352,0.8251488815307815,82.6931496851978,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.833215713500977,7.20978273664202,0.8090695554326531,94.29177255882531,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.35711999734242755,0.39537920951843264,0.9032341325619919,72.20704856601552,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.2969599962234497,0.3097343921661377,0.9587569341158733,66.70830429663008,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.34969600041707355,0.3428096055984497,1.0200881034433156,61.43400285498691,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6964053312937418,0.871884822845459,0.7987354671698181,67.68081186345674,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.05376000205675761,0.04910080134868622,1.0948905227632513,10.243656750953889,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01937066639463107,0.019468800723552705,0.9949594055476197,0.00084581498985193,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.029440000653266907,0.022950400412082673,1.282766318872923,1.5059477926703173,3,20,1.0,0.0078125,0,True
