case_id,name,batch_size,seq_len,total_q,total_kv,max_q,max_kv,visible_pairs,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,ragged_long,33,987,16294,16294,987,987,4156239,0.9204906622568766,1.2102784156799316,0.7605610827486724,73.97774096810647,3,20,1.0,0.0078125,0,True
2,equal_b1_l1024,1,1024,1024,1024,1024,1024,524800,0.18338133891423544,0.17541120052337647,1.0454368841161703,46.887667256161215,3,20,1.0,0.0078125,0,True
3,equal_b1_l4096,1,4096,4096,4096,4096,4096,8390656,1.657002607981364,1.8579072952270508,0.8918650635788936,82.96456942302298,3,20,1.0,0.00390625,0,True
4,equal_b1_l16384,1,16384,16384,16384,16384,16384,134225920,21.2316157023112,26.58937644958496,0.7984999476226006,103.57937446280206,3,4,1.0,0.00390625,0,True
5,equal_b4_l1024,4,1024,4096,4096,1024,1024,2099200,0.48392534255981445,0.5499135971069335,0.8800025042219727,71.07148515527247,3,20,1.0,0.0078125,0,True
6,equal_b4_l4096,4,4096,16384,16384,4096,4096,33562624,5.5877119700113935,6.940330505371094,0.8051074751680898,98.41058998158753,3,15,1.0,0.0078125,0,True
7,equal_b16_l1024,16,1024,16384,16384,1024,1024,8396800,1.6655359268188477,2.0152320861816406,0.8264735055775241,82.5999421476083,3,20,1.0,0.0078125,0,True
8,equal_b16_l2048,16,2048,32768,32768,2048,2048,33570816,5.828863779703776,7.211336953299386,0.8082916964567728,94.3621724802003,3,14,1.0,0.0078125,0,True
9,q_lt_kv_uniform,4,1024,2048,4096,512,1024,1573888,0.3589973449707031,0.4060544013977051,0.8841114484536458,71.82944763589931,3,20,1.0,0.001953125,0,True
10,q_lt_kv_mixed,4,1280,1536,3584,640,1280,1209088,0.29730133215586346,0.30807039737701414,0.9650434922899406,66.63171553370151,3,20,1.0,0.001953125,0,True
11,q_lt_kv_two,2,2048,1024,3072,512,2048,1311232,0.3472213347752889,0.34179840087890623,1.0158658843412902,61.87184638842337,3,20,1.0,0.001953125,0,True
12,ragged_medium,27,873,12251,12251,873,873,2876787,0.6877013047536215,0.8708736419677734,0.7896682958502834,68.53742734265445,3,20,1.0,0.0078125,0,True
13,ragged_short,15,123,969,969,123,123,33612,0.050517335534095764,0.04912639856338501,1.0283134325207273,10.90118871428434,3,20,1.0,0.0078125,0,True
14,single_token,1,1,1,1,1,1,1,0.01826133330663045,0.02024960070848465,0.9018120193836164,0.0008971962629941804,3,20,1.0,0.0,0,True
15,non_power_of_two,2,65,98,98,65,65,2706,0.027903998891512554,0.02247679978609085,1.2414578212677845,1.588844099814139,3,20,1.0,0.0078125,0,True
