case_id,name,batch_size,seq_len,num_heads,online_baseline_ms,online_reference_ms,online_reference_display,local_reference_pre_ms,local_reference_post_ms,local_reference_conservative_ms,local_candidate_ms,candidate_over_reference,projected_online_ms,projected_raw_score,projected_display_score
1,b1_l1024_h64,1,1024,64,0.105,0.022,82,0.0236160010099411,0.02329600105683009,0.02329600105683009,0.023232000569502514,0.9972527264584403,0.021939559982085684,82.71653061883791,82
2,b1_l4096_h64,1,4096,64,0.125,0.033,79,0.032746667663256325,0.03268266717592875,0.03268266717592875,0.03142400085926056,0.9614882619618261,0.031729112644740265,79.75544421242209,79
3,b1_l8192_h64,1,8192,64,0.146,0.042,77,0.04341333111127218,0.04322133461634318,0.04322133461634318,0.04302933315436045,0.9955577155660037,0.041813424053772155,77.73672235388206,77
4,b1_l16384_h64,1,16384,64,0.171,0.056,75,0.057536001006762184,0.057301332553227745,0.057301332553227745,0.05467733244101206,0.954206996673625,0.053435591813722996,76.19112397374411,76
5,b4_l1024_h64,4,1024,64,0.124,0.024,83,0.02498133232196172,0.024682665864626568,0.024682665864626568,0.024234667420387268,0.9818496735038115,0.023564392164091476,84.03111223614984,84
6,b4_l4096_h64,4,4096,64,0.16,0.044,78,0.04537599782148997,0.044906665881474815,0.044906665881474815,0.04206933577855428,0.9368171729691692,0.04121995561064344,79.51497629270766,79
7,b4_l8192_h64,4,8192,64,0.204,0.065,75,0.06611200173695882,0.06596266726652782,0.06596266726652782,0.06540800134340923,0.9915912144535117,0.06445342893947827,75.99083416661851,75
8,b4_l16384_h64,4,16384,64,0.271,0.096,73,0.09723732868830363,0.09732266267140706,0.09723732868830363,0.08996267120043437,0.9251865761225472,0.08881791130776454,75.315872691008,75
9,b16_l1024_h64,16,1024,64,0.176,0.046,79,0.046336000164349876,0.04625066618124644,0.04625066618124644,0.045738667249679565,0.9889299122836316,0.04549077596504705,79.46154833453387,79
10,b16_l4096_h64,16,4096,64,0.285,0.091,75,0.09252267082532246,0.09243733684221904,0.09243733684221904,0.08962133526802063,0.9695361022894349,0.08822778530833857,76.36087430215035,76
11,b16_l8192_h64,16,8192,64,0.363,0.153,70,0.15426133076349893,0.1541759967803955,0.1541759967803955,0.141866664091746,0.9201605117158242,0.1407845582925211,72.05461025449395,72
12,b16_l16384_h64,16,16384,64,0.569,0.278,67,0.279530664285024,0.27931733926137287,0.27931733926137287,0.24307199319203696,0.8702359611287178,0.24192559719378356,70.16673317120959,70
13,b1_l1024_h128,1,1024,128,0.109,0.022,83,0.023061332603295643,0.022976001103719074,0.022976001103719074,0.022485333184401195,0.9786443290499992,0.02153017523909998,83.50559539228239,83
14,b1_l4096_h128,1,4096,128,0.125,0.035,78,0.03505066782236099,0.03522133330504099,0.03505066782236099,0.033813332517941795,0.9646986667789016,0.03376445333726156,78.73298926332326,78
15,b1_l8192_h128,1,8192,128,0.152,0.047,76,0.04842666784922282,0.04866133133570353,0.04842666784922282,0.047914668917655945,0.9894273350964186,0.04650308474953167,76.57311733557763,76
16,b1_l16384_h128,1,16384,128,0.185,0.071,72,0.07242666681607564,0.07206400235493977,0.07206400235493977,0.06713599960009257,0.931616305037082,0.06614475765763282,73.66269625750934,73
17,b4_l1024_h128,4,1024,128,0.123,0.032,79,0.03302400062481562,0.03264000018437704,0.03264000018437704,0.03249066571394602,0.9954248017896001,0.031853593657267205,79.42986474839725,79
18,b4_l4096_h128,4,4096,128,0.183,0.06,75,0.060458665092786155,0.06022400160630544,0.06022400160630544,0.05932799975077311,0.9851221800007637,0.05910733080004582,75.58631099491076,75
19,b4_l8192_h128,4,8192,128,0.263,0.091,74,0.09177600344022115,0.09160533547401428,0.09160533547401428,0.08678399523099263,0.9473683468536686,0.08621051956368384,75.31273694979224,75
20,b4_l16384_h128,4,16384,128,0.404,0.153,72,0.15432533621788025,0.1541973352432251,0.1541973352432251,0.1360640029112498,0.8824017788415573,0.13500747216275827,74.95257874236084,74
21,b16_l1024_h128,16,1024,128,0.191,0.06,76,0.060458665092786155,0.06028800209363302,0.06028800209363302,0.05958400170008341,0.9883227114997736,0.05929936268998641,76.30862417998527,76
22,b16_l4096_h128,16,4096,128,0.399,0.161,71,0.16057599584261575,0.16040533781051636,0.16040533781051636,0.15127467115720114,0.943077538578541,0.1518354837111451,72.43542070162519,72
23,b16_l8192_h128,16,8192,128,0.532,0.278,65,0.27908267577489215,0.27897600332895917,0.27897600332895917,0.2585386633872986,0.9267415845886875,0.25763416051565513,67.37297176360605,67
24,b16_l16384_h128,16,16384,128,0.899,0.524,63,0.5261226495107015,0.5257600148518881,0.5257600148518881,0.45612800121307373,0.8675593204659537,0.45460108392415977,66.41543144999207,66
