case_id,name,online_baseline_ms,predecessor_actual_online_ms,predecessor_actual_display,local_aq_ms,local_no_cheat_best_ms,projected_current_online_ms,projected_current_raw_score,projected_current_display
1,b1_l1024_h64,0.105000,0.039000,72,0.040832002,0.038668799,0.036933854,73.978122401,73
2,b1_l4096_h64,0.125000,0.061000,67,0.064319998,0.062425601,0.059203386,67.859773105,67
3,b1_l8192_h64,0.146000,0.078000,65,0.083168000,0.081907201,0.076817546,65.524462785,65
4,b1_l16384_h64,0.171000,0.109000,61,0.110367998,0.107942402,0.106604469,61.598432007,61
5,b4_l1024_h64,0.124000,0.053000,70,0.054464001,0.052889597,0.051467916,70.668189671,70
6,b4_l4096_h64,0.160000,0.093000,63,0.096064001,0.092979199,0.090013588,63.996521549,63
7,b4_l8192_h64,0.204000,0.112000,64,0.113504000,0.110579205,0.109113960,65.151997706,65
8,b4_l16384_h64,0.271000,0.163000,62,0.165951997,0.162432003,0.159542621,62.943826481,62
9,b16_l1024_h64,0.176000,0.098000,64,0.099040002,0.096422398,0.095409883,64.846569978,64
10,b16_l4096_h64,0.285000,0.161000,63,0.162591994,0.160345602,0.158775603,64.221646662,64
11,b16_l8192_h64,0.363000,0.254000,58,0.261503994,0.256038404,0.248691247,59.343664267,59
12,b16_l16384_h64,0.569000,0.463000,55,0.466304004,0.457932806,0.454688116,55.583335497,55
13,b1_l1024_h128,0.109000,0.042000,72,0.043648001,0.042175999,0.040583576,72.868962433,72
14,b1_l4096_h128,0.125000,0.067000,65,0.073023997,0.072000003,0.066060478,65.424310175,65
15,b1_l8192_h128,0.152000,0.093000,62,0.097824000,0.096102399,0.091363296,62.458062642,62
16,b1_l16384_h128,0.185000,0.144000,56,0.147775993,0.143372798,0.139709316,56.974035156,56
17,b4_l1024_h128,0.123000,0.085000,59,0.086304002,0.084364802,0.083090100,59.682633874,59
18,b4_l4096_h128,0.183000,0.103000,63,0.103968002,0.101491201,0.100546259,64.539733427,64
19,b4_l8192_h128,0.263000,0.155000,62,0.155136004,0.150886405,0.150754126,63.564320814,63
20,b4_l16384_h128,0.404000,0.257000,61,0.257407993,0.251340795,0.250942418,61.684812112,61
21,b16_l1024_h128,0.191000,0.106000,64,0.106816001,0.104166400,0.103370640,64.884188105,64
22,b16_l4096_h128,0.399000,0.272000,59,0.272704005,0.266009593,0.265322870,60.061156719,60
23,b16_l8192_h128,0.532000,0.464000,53,0.465983987,0.455295992,0.453357511,53.990556148,53
24,b16_l16384_h128,0.899000,0.869000,50,0.869696021,0.851123238,0.850442080,51.387811581,51
