case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.03704319894313812,0.040832001715898514,1.1022806582815987,0.02425017448219517,1.0,0.02425017448219517,81.23783390044954,81.23783390044954
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.05314559936523437,0.06431999802589417,1.2102600929169238,0.03993858306625849,1.0,0.03993858306625849,75.78576462835822,75.78576462835822
3,0.146,0.042,77.6596,8.676915066498819e-08,0.06111999750137329,0.08316799998283386,1.360733039640016,0.05715078766488067,1.0,0.05715078766488067,71.86781780530553,71.86781780530553
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.08633599877357483,0.11036799848079681,1.2783543371085382,0.07158784287807814,1.0,0.07158784287807814,70.48993240654556,70.48993240654556
5,0.124,0.024,83.7838,3.551998294773034e-08,0.05023999810218811,0.05446400120854378,1.0840764981273296,0.026017835955055912,1.0,0.026017835955055912,82.65685370675997,82.65685370675997
6,0.16,0.044,78.4314,9.848266353226857e-08,0.077811199426651,0.0960640013217926,1.2345780816853706,0.0543214355941563,1.0,0.0543214355941563,74.65424450743829,74.65424450743829
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.10512640476226806,0.11350400000810623,1.0796906853685635,0.07017989454895662,1.0,0.07017989454895662,74.40367609510662,74.40367609510662
8,0.271,0.096,73.842,2.9359953027076644e-07,0.15964159965515137,0.16595199704170227,1.039528527653082,0.09979473865469586,1.0,0.09979473865469586,73.0862947370124,73.0862947370124
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.06791679859161377,0.09904000163078308,1.458254860131354,0.06707972356604229,1.0,0.06707972356604229,72.40424360238659,72.40424360238659
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.14489599466323852,0.16259199380874634,1.1221289738659523,0.10211373662180166,1.0,0.10211373662180166,73.62179852218482,73.62179852218482
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.21935360431671141,0.26150399446487427,1.1921572717232605,0.18240006257365884,1.0,0.18240006257365884,66.55661938650583,66.55661938650583
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.398528003692627,0.4663040041923523,1.1700658419778174,0.32527830406983327,1.0,0.32527830406983327,63.62674313515275,63.62674313515275
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04500479996204376,0.04364800080657005,0.9698521234042145,0.021336746714892718,1.0,0.021336746714892718,83.6295163356144,83.6295163356144
14,0.125,0.035,78.125,0.0,0.053964799642562865,0.07302399724721909,1.3531783260735752,0.04736124141257514,1.0,0.04736124141257514,72.52210472352762,72.52210472352762
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.08065279722213745,0.09782399982213974,1.212902753424765,0.057006429410963955,1.0,0.057006429410963955,72.72502767595341,72.72502767595341
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.1089792013168335,0.14777599275112152,1.3560017963564874,0.0962761275413106,1.0,0.0962761275413106,65.7716516091343,65.7716516091343
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.05135359764099121,0.08630400151014328,1.6805833568562707,0.05377866741940066,1.0,0.05377866741940066,69.57850841273958,69.57850841273958
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.10515199899673462,0.10396800190210342,0.9887401370784404,0.05932440822470642,1.0,0.05932440822470642,75.51855733167592,75.51855733167592
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1602944016456604,0.15513600409030914,0.9678192282301027,0.08807154976893934,1.0,0.08807154976893934,74.91351933803308,74.91351933803308
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.28852479457855223,0.2574079930782318,0.8921520712083941,0.13649926689488429,1.0,0.13649926689488429,74.74568657545646,74.74568657545646
21,0.191,0.06,76.09559999999999,-8.430540020971275e-08,0.10599679946899414,0.10681600123643875,1.0077285519142891,0.06046371311485735,1.0,0.06046371311485735,75.9552755627059,75.9552755627059
22,0.399,0.161,71.25,4.6531406179142585e-17,0.2662015914916992,0.27270400524139404,1.0244266524225405,0.16493269104002903,1.0,0.16493269104002903,70.75312467949801,70.75312467949801
23,0.532,0.278,65.679,-3.1889788871163716e-07,0.40037121772766116,0.4659839868545532,1.1638798350672723,0.32355859414870175,1.0,0.32355859414870175,62.18158825646481,62.18158825646481
24,0.899,0.524,63.1764,6.52682067910711e-07,0.7592959880828858,0.8696960210800171,1.1453978879512792,0.6001884932864703,1.0,0.6001884932864703,59.96578376338852,59.96578376338852
