case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.04369066655635834,0.04369066655635834,1.0,0.022,1.0,0.022,82.6772,82.6772
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.057429333527882896,0.057429333527882896,1.0,0.033,1.0,0.033,79.1139,79.1139
3,0.146,0.042,77.6596,8.676915066498819e-08,0.10154666503270467,0.10154666503270467,1.0,0.042,1.0,0.042,77.6596,77.6596
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.1889280080795288,0.1889280080795288,1.0,0.056,1.0,0.056,75.3304,75.3304
5,0.124,0.024,83.7838,3.551998294773034e-08,0.06647466619809468,0.06647466619809468,1.0,0.024,1.0,0.024,83.7838,83.7838
6,0.16,0.044,78.4314,9.848266353226857e-08,0.0962559978167216,0.0962559978167216,1.0,0.044,1.0,0.044,78.4314,78.4314
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.16733866930007935,0.16733866930007935,1.0,0.065,1.0,0.065,75.8364,75.8364
8,0.271,0.096,73.842,2.9359953027076644e-07,0.08644266923268636,0.08644266923268636,1.0,0.096,1.0,0.096,73.842,73.842
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.11545600493748982,0.11545600493748982,1.0,0.046,1.0,0.046,79.27929999999999,79.27929999999999
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.11281067132949829,0.11281067132949829,1.0,0.091,1.0,0.091,75.7979,75.7979
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.1690453290939331,0.1690453290939331,1.0,0.153,1.0,0.153,70.3488,70.3488
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.47086934248606366,0.47086934248606366,1.0,0.278,1.0,0.278,67.17830000000001,67.17830000000001
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04693333307902018,0.04693333307902018,1.0,0.022,1.0,0.022,83.2061,83.2061
14,0.125,0.035,78.125,0.0,0.0724480003118515,0.0724480003118515,1.0,0.035,1.0,0.035,78.125,78.125
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.11016533772150676,0.11016533772150676,1.0,0.047,1.0,0.047,76.3819,76.3819
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.009216000015536943,0.009216000015536943,1.0,0.071,1.0,0.071,72.26559999999999,72.26559999999999
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.07594666878382365,0.07594666878382365,1.0,0.032,1.0,0.032,79.3548,79.3548
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.27485867341359455,0.27485867341359455,1.0,0.06,1.0,0.06,75.3086,75.3086
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1497599979241689,0.1497599979241689,1.0,0.091,1.0,0.091,74.2938,74.2938
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.26146133740743,0.26146133740743,1.0,0.153,1.0,0.153,72.5314,72.5314
