case_id,online_baseline_ms,online_anchor_ms,online_anchor_raw_score,inferred_hardware_ms,local_anchor_ms,local_candidate_ms,local_ratio,projected_online_ms_raw,bias_factor,projected_online_ms_corrected,projected_raw_score,projected_display_score
1,0.105,0.022,82.6772,6.732522982929434e-08,0.03704319894313812,0.03884800150990486,1.048721563424831,0.023071874395346283,1.0,0.023071874395346283,81.98524739644007,81.98524739644007
2,0.125,0.033,79.1139,-6.526092345764489e-08,0.05314559936523437,0.062431998550891876,1.174735054201539,0.03876625678865078,1.0,0.03876625678865078,76.32827915042537,76.32827915042537
3,0.146,0.042,77.6596,8.676915066498819e-08,0.06111999750137329,0.08012799918651581,1.3109948046826316,0.05506178179667053,1.0,0.05506178179667053,72.61451576734419,72.61451576734419
4,0.171,0.056,75.3304,1.5791302117899283e-08,0.08633599877357483,0.10727837681770325,1.2425683184490863,0.06958382583314883,1.0,0.06958382583314883,71.07710007708086,71.07710007708086
5,0.124,0.024,83.7838,3.551998294773034e-08,0.05023999810218811,0.05164799839258194,1.0280254845457986,0.024672611629099166,1.0,0.024672611629099166,83.40475247725767,83.40475247725767
6,0.16,0.044,78.4314,9.848266353226857e-08,0.077811199426651,0.09280925244092941,1.1927492844833523,0.052480968517267496,1.0,0.052480968517267496,75.30088503948457,75.30088503948457
7,0.204,0.065,75.8364,-1.6256134752200516e-07,0.10512640476226806,0.10942612588405609,1.0409004867189302,0.06765853163673047,1.0,0.06765853163673047,75.09424319708637,75.09424319708637
8,0.271,0.096,73.842,2.9359953027076644e-07,0.15964159965515137,0.16167575120925903,1.0127419892966603,0.09722323097247938,1.0,0.09722323097247938,73.59669780852097,73.59669780852097
9,0.176,0.046,79.27929999999999,7.855379053306957e-08,0.06791679859161377,0.09907987713813782,1.4588419830255661,0.06710673121917604,1.0,0.06710673121917604,72.3961999338689,72.3961999338689
10,0.285,0.091,75.7979,2.0156679420633285e-07,0.14489599466323852,0.15872088074684143,1.09541247924578,0.09968253561136597,1.0,0.09968253561136597,74.08709018989067,74.08709018989067
11,0.363,0.153,70.3488,-4.717722912252055e-07,0.21935360431671141,0.26009601354599,1.185738499060417,0.18141799035624379,1.0,0.18141799035624379,66.6766802490409,66.6766802490409
12,0.569,0.278,67.17830000000001,5.85040429295953e-07,0.398528003692627,0.4651840031147003,1.1672554972409999,0.324497028232998,1.0,0.324497028232998,63.68237857714666,63.68237857714666
13,0.109,0.022,83.2061,-1.3551726930702132e-08,0.04500479996204376,0.04214400053024292,0.9364334596706665,0.02060153611275466,1.0,0.02060153611275466,84.10393427885361,84.10393427885361
14,0.125,0.035,78.125,0.0,0.053964799642562865,0.06864000111818314,1.2719402568493132,0.04451790898972597,1.0,0.04451790898972597,73.73852163760228,73.73852163760228
15,0.152,0.047,76.3819,-3.6009536826528226e-08,0.08065279722213745,0.09475287795066833,1.174824447684013,0.055216749041148615,1.0,0.055216749041148615,73.35313573088833,73.35313573088833
16,0.185,0.071,72.26559999999999,-1.4371945968501975e-07,0.1089792013168335,0.1454405039548874,1.3345712043901894,0.09475455551170343,1.0,0.09475455551170343,66.12938019883092,66.12938019883092
17,0.123,0.032,79.3548,-1.0219793698546228e-07,0.05135359764099121,0.07891199737787247,1.5366400992884621,0.04917248317723079,1.0,0.04917248317723079,71.43996178006513,71.43996178006513
18,0.183,0.06,75.3086,-2.0151252936178095e-07,0.10515199899673462,0.10038000345230103,0.954618118628617,0.05727708711771702,1.0,0.05727708711771702,76.16202475054507,76.16202475054507
19,0.263,0.091,74.2938,1.0702319112411555e-07,0.1602944016456604,0.15109437704086304,0.9426054527772311,0.08577709620272803,1.0,0.08577709620272803,75.4063432618548,75.4063432618548
20,0.404,0.153,72.5314,-2.2635078156296836e-07,0.28852479457855223,0.25407999753952026,0.8806175493882755,0.13473448505640614,1.0,0.13473448505640614,74.99053765328316,74.99053765328316
21,0.191,0.06,76.09559999999999,-8.430540020971275e-08,0.10599679946899414,0.10494612157344818,0.9900876450910832,0.05940525870546499,1.0,0.05940525870546499,76.27633568187983,76.27633568187983
22,0.399,0.161,71.25,4.6531406179142585e-17,0.2662015914916992,0.2690240144729614,1.010602577413029,0.16270701496349765,1.0,0.16270701496349765,71.03347285522666,71.03347285522666
23,0.532,0.278,65.679,-3.1889788871163716e-07,0.40037121772766116,0.4620479941368103,1.1540489767451332,0.32082561553514705,1.0,0.32082561553514705,62.38085622013036,62.38085622013036
24,0.899,0.524,63.1764,6.52682067910711e-07,0.7592959880828858,0.8664000034332275,1.141057001526854,0.5979138688000715,1.0,0.5979138688000715,60.05690440959461,60.05690440959461
