Name,Description,Value
Total Instructions,number of all instructions,"707,818,961"
Compute Instructions,number of compute instructions,"456,214,514"
Memory Instructions,number of memory instructions,"251,604,447"
Total Cycles,cycles use by kernel,"3,964,234.10(Kcycles)"
Memory Access per Second,memory access per second,"313,714.64(MB/s)"
Average AP busy cycles,Average busy cycles per AP,"25,194,181.0"
AP busy Duty,average AP busy duty of total cycles,0.64%
Compute Instructions busy Duty,Compute Instructions busy duty of total AP cycles,90.11%
RoofLine,,"{
    ""processed_data"": {
        ""all_ops"": 20246888768.0,
        ""all_memacs"": 9208574976.0,
        ""during"": 25194181.0,
        ""block_num"": 104,
        ""vl1_memacs"": 9212616429.942858,
        ""l2c_memacs"": 17841300613.953487
    },
    ""data"": {
        ""all_ops"": 20246888768.0,
        ""all_memacs"": 9208574976.0,
        ""block_num"": 104,
        ""during"": 25194181.0,
        ""core_clk"": 1.125,
        ""MAX_Flops_base"": 1,
        ""case_flops"": 7.727245540120187,
        ""MAX_Bandwith"": 1843.2,
        ""MAX_I"": 260.0,
        ""case_I"": 18.792303022068303,
        ""case_bandwith"": 411.19204660790524,
        ""case_VL1_I"": 18.78405908531901,
        ""case_L2C_I"": 9.699423550718413,
        ""mc_clk"": 0.9
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/RoofLine20260817094700269.png""
}"
WORKGROUPS,ce send workgroup,"20,289.0"
WAVES,ce send waves,"90,324.0"
Average Wave life cycles,average life cycles per wave from start to end,"251,948.69"
Compute Instructions Cycles Rate,rate between compute instructions cycles,"{
    ""data"": {
        ""MTE_4CYCLES"": 4246157046.857143,
        ""MTE_16CYCLES"": 204888.30551550977,
        ""MMA_16CYCLES"": 451780.15137075365,
        ""MMA_32CYCLES"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/Compute_Instructions_Cycles_Rate20260817094701252.png""
}"
DPC Computing cycles comparison,Comparison on AP computing cycles,"{
    ""data"": {
        ""0"": 94576256.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/DPC_Computing_cycles_comparison20260817094701381.png""
}"
ISU stall cycles layout,ISU stall cycles layout,"{
    ""data"": {
        ""wsm_stall"": 216395638.3526786,
        ""vls_pipeline_stall"": 4271.744625401361,
        ""vls_wdata_stall"": 10457838.753488371,
        ""valu_stall"": 0.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/ISU_stall_cycles_layout20260817094701656.png""
}"
Instructions Comparison,Comparison between all instructions,"{
    ""data"": {
        ""MTE"": 38542.65838332363,
        ""MMA"": 262366986.73170733,
        ""STE"": 1568.2222536012168,
        ""GVM"": 39324650.97156398,
        ""BSM"": 211753485.04186046,
        ""LDU"": 526311.0,
        ""MISC"": 193807416.46499997
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/Instructions_Comparison20260817094701491.png""
}"
Global Read Instructions,Number of global read instructions in all APs,"37,410,100"
Global Write Instructions,Number of global write instructions in all APs,"908,179"
Global Atomic Instructions,Number of global atomic instructions in all APs,428.08
Private Read Instructions,Number of private read instructions in all APs,"138,636"
Private Write Instructions,Number of private write instructions in all APs,5
Constant Read Instructions,Number of smem instructions in all APs,"526,311"
Constant Read SL1 Instructions,Num of LDU instructions in all SL1s,"507,749"
Constant Read L2 Instructions,Num of SL1 data miss requests,"12,903"
Constant SL1 Hit Rate,Total LDU instructions hit rate in all SL1s,97.91%
VL1 Read Instructions,total read instructions in all VL1s,"35,052,064"
VL1 Write Instructions,total write instructions in all VL1s,"1,083,166"
VL1 Atomic Instructions,total atomic instructions in all VL1s,"3,255.87"
VL1 Hit Rate,hit rate of all instructions in all VL1s,93.85%
L2C Read Instructions,total read instructions in all L2Cs,"136,687,296"
L2C Write Instructions,total write instructions in all L2Cs,"10,836,736"
L2C Atomic Instructions,total atomic instructions in all L2Cs,0.0
L2C Hit Rate,hit rate of all instructions in all L2Cs,49.38%
Total Atomic Instructions,"total atomic instructions in memory access, include global atomic and shared memory atomic","7,151,881.64"
Dnoc Read Req,number of dnoc read requests,"66,524,416.0"
Dnoc Write Req,number of dnoc write requests,"5,415,648.0"
Global Memory Read bytes,bytes read from global memory,"8,515,643,392.0byte"
Global Memory Write bytes,bytes write from global memory,"692,931,584.0byte"
Dnoc Read Average Latency,average latency of dnoc read request,271.52
Memory Data Flow Chart,,"{
    ""data"": {
        ""vl1c"": 93.85345480307566,
        ""l2c"": 49.38217832306896,
        ""sl1"": 97.9125258717025,
        ""global_kernel_rd"": 37410100,
        ""global_kernel_wr"": 908179,
        ""private_kernel_rd"": 138636,
        ""private_kernel_wr"": 5,
        ""generic_kernel_rd"": 35138,
        ""generic_kernel_wr"": 0,
        ""const_kernel_rd"": 526311,
        ""shared_kernel_rd"": 150023196,
        ""shared_kernel_wr"": 38083774,
        ""Ggeneric_vl1c_rd"": 35052064,
        ""Ggeneric_vl1c_wr"": 1083166,
        ""const_sl1c_rd"": 507749,
        ""sl1_l2c_rd"": 12903,
        ""vl1c_l2c_rd"": 136687296,
        ""vl1c_l2c_wr"": 10836736,
        ""l2c_Gmemory_rd"": null,
        ""l2c_Gmemory_wr"": null
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/Memory_Data_Flow_Chart20260817094701821.png""
}"
Dnoc Read Latency Histogram,histogram of dnoc read latency,"{
    ""data"": {
        ""0-255"": 42115008.0,
        ""256-511"": 20861600.0,
        ""512-1k"": 2287200.0,
        ""1k-2k"": 77792.0,
        ""2k-"": 32.0
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/Dnoc_Read_Latency_Histogram20260817094702095.png""
}"
VL1 partition stall cycles layout,VL1 partition access stall cycles layout,"{
    ""data"": {
        ""pt0"": 579066.1714285715,
        ""pt1"": 631649.3424657534,
        ""pt2"": 195735.08571428573,
        ""pt3"": 640826.095890411
    },
    ""filename"": ""/opt/mcProfiler-ubuntu18.04/output20260817094619/VL1_partition_stall_cycles_layout20260817094702245.png""
}"
load instructions,number of total workgroup memory load instructions,"150,023,196.18"
store instructions,number of total workgroup memory write instructions,"38,083,774.63"
atomic instructions,number of total workgroup memory atomic instructions,"7,148,381.59"
total instructions,number of total workgroup memory instructions,"211,753,485.04"
average latency per load instruction,average latency per WG-load from issue to mem-ops done,0.00
average latency per store instruction,average latency per WG-store from issue to memops done,35.73
average latency per atomic instruction,average latency per WG-atom from issue to memops done,48.34
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,69.36
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),6.89
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),4.08
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0.00
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,0.06
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),5.61
shared memory access efficiency,Proportion of NON-CONFLICT access,98.88%
Achieved waves,number of achieved waves,"90,324.0"
Dispatched waves,number of dispatched waves,"90,320.0"
AP active cycles,number of wave instruction cycles executed on the AP,"2,775,169,761.76"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,41.54%
AP STE Duty ratio,STE Duty ratio relative to AP active,0.00%
AP MMA Duty ratio,MMA Duty ratio relative to AP active,34.08%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,0.12%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,28.09
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.27
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,6.75%
instruction number,The total number of instructions,"707,818,961.09"
instructions per AP,The number of instructions per PEU,"6,805,951.55"
