case_id,name,batch_size,seq_len,num_heads,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_h64,1,1024,64,4.7896575927734375,0.03723520040512085,128.63251817263563,0.029773806005498653,0.24629067467783813,10,20,1.0,0.0009765625,0,True
2,b4_l1024_h64,4,1024,64,4.845465469360351,0.05088000297546387,95.2331994103264,0.11772353917430799,0.9738160409639448,10,20,1.0,0.001953125,0,True
3,b16_l1024_h64,16,1024,64,6.769894409179687,0.06799359917640686,99.56664290730438,0.3370364791666633,2.787985581341884,10,20,1.0,0.001953125,0,True
4,b64_l1024_h64,64,1024,64,13.113165283203125,0.15489280223846436,84.6596168039805,0.6960032384927444,5.757379730178951,10,20,1.0,0.001953125,0,True
5,b1_l4096_h64,1,4096,64,19.16879611545139,0.05315840244293213,360.5976710084531,0.029758016130193868,0.24616005990050077,9,20,1.0,0.0009765625,0,True
6,b4_l4096_h64,4,4096,64,23.036217583550346,0.07813119888305664,294.8401907671985,0.0990484383004488,0.819334508000036,9,20,1.0,0.0009765625,0,True
7,b16_l4096_h64,16,4096,64,27.138015747070312,0.1449087977409363,187.2765226828178,0.33631071589990086,2.7819820249072684,8,20,1.0,0.0009765625,0,True
8,b1_l8192_h64,1,8192,64,42.647039794921874,0.061440002918243405,694.1249636929732,0.026750993585628536,0.22128579252817723,5,20,1.0,0.0009765625,0,True
9,b4_l8192_h64,4,8192,64,45.9019775390625,0.10439679622650147,439.68760726596065,0.0994162560451029,0.8223771180201527,5,20,1.0,0.0009765625,0,True
10,b1_l16384_h64,1,16384,64,90.85465494791667,0.08679680228233337,1046.7511769890311,0.025113753140199674,0.20774244325532817,3,20,1.0,0.0009765625,0,True
11,b4_l16384_h64,4,16384,64,91.92916870117188,0.15942399501800536,576.6332018639314,0.09928084451266941,0.8212569858584785,3,20,1.0,0.0009765625,0,True
12,b16_l16384_h64,16,16384,64,108.48038482666016,0.3983488082885742,272.3251144963239,0.3365329324221569,2.7838202130509306,2,20,1.0,0.0009765625,0,True
13,b1_l1024_h128,1,1024,128,4.795340728759766,0.0456063985824585,105.14622679731147,0.05947703992949954,0.2459987864731139,10,20,1.0,0.001953125,0,True
14,b4_l1024_h128,4,1024,128,4.964761734008789,0.05111039876937866,97.13799644590691,0.22978961511589438,0.9504166066374308,10,20,1.0,0.001953125,0,True
15,b16_l1024_h128,16,1024,128,7.072409820556641,0.10635520219802856,66.49801490093672,0.6452401469632076,2.6687322254912083,10,20,1.0,0.001953125,0,True
16,b64_l1024_h128,64,1024,128,20.649830627441407,0.32729599475860593,63.09221914759908,0.8839593572134636,3.6560819002395095,10,20,1.0,0.001953125,0,True
17,b1_l4096_h128,1,4096,128,19.161741468641495,0.05395200252532959,355.16274784509375,0.059537943869403566,0.24625068695984934,9,20,1.0,0.0009765625,0,True
18,b16_l4096_h128,16,4096,128,28.2172794342041,0.26664960384368896,105.82156893338264,0.6468947883711831,2.675575871020518,8,20,1.0,0.0009765625,0,True
19,b1_l16384_h128,1,16384,128,90.66504923502605,0.1094655990600586,828.251523890007,0.050332545898370835,0.2081768902046588,3,20,1.0,0.0009765625,0,True
20,b4_l16384_h128,4,16384,128,92.14608764648438,0.28857600688934326,319.31305945964704,0.19809425960686922,0.8193236840357642,3,20,1.0,0.0009765625,0,True
21,odd_b3_l1023_h64,3,1023,64,4.799948883056641,0.04501760005950928,106.62382882942524,0.08904286824984435,0.7365678439784918,10,20,1.0,0.001953125,0,True
22,odd_b5_l257_h128,5,257,128,1.2657152175903321,0.04687359929084778,27.002731532021844,0.28277172860525923,1.1695521863268994,10,20,1.0,0.00390625,0,True
