case_id,name,batch_size,seq_len,num_heads,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_h64,1,1024,64,0.02329600105683009,0.03224320113658905,0.7225089394239511,6.121494227791067,50.63736034018346,12,20,1.0,0.00390625,0,True
2,b1_l4096_h64,1,4096,64,0.03268266717592875,0.04797439873218536,0.6812522520267127,17.453451425167845,144.37597686260168,12,20,1.0,0.001953125,0,True
3,b1_l8192_h64,1,8192,64,0.04322133461634318,0.05628160238265991,0.7679478335119233,26.39554511971532,218.34550190940982,12,20,1.0,0.00146484375,0,True
4,b1_l16384_h64,1,16384,64,0.057301332553227745,0.08220160007476807,0.6970829339223106,39.81934231425606,329.38794193777994,12,20,1.0,0.0009765625,0,True
5,b4_l1024_h64,4,1024,64,0.024682665864626568,0.045926401019096376,0.5374395841373117,23.110362030119802,191.1702741462116,12,20,1.0,0.00390625,0,True
6,b4_l4096_h64,4,4096,64,0.044906665881474815,0.07293440103530884,0.6157130962072987,50.80985932071305,420.30214511619255,12,20,1.0,0.002197265625,0,True
7,b4_l8192_h64,4,8192,64,0.06596266726652782,0.10054399967193603,0.6560577208163264,69.1815983359372,572.274250940657,12,20,1.0,0.00146484375,0,True
8,b4_l16384_h64,4,16384,64,0.09732266267140706,0.1546623945236206,0.6292587346211272,93.77883068011674,775.7440037877303,12,20,1.0,0.001220703125,0,True
9,b16_l1024_h64,16,1024,64,0.04625066618124644,0.06380800008773804,0.7248411816331853,49.333373211501474,408.08856516867024,12,20,1.0,0.005615234375,0,True
10,b16_l4096_h64,16,4096,64,0.09243733684221904,0.14099199771881105,0.6556211582062442,98.73505464116207,816.7421799360833,12,20,1.0,0.002197265625,0,True
11,b16_l8192_h64,16,8192,64,0.1541759967803955,0.21424639225006104,0.7196200372907403,118.39463593026088,979.3673928054668,12,20,1.0,0.001953125,0,True
12,b16_l16384_h64,16,16384,64,0.27931733926137287,0.3932672023773193,0.7102482423474066,130.70159594295058,1081.1712899692602,12,20,1.0,0.001220703125,0,True
13,b1_l1024_h128,1,1024,128,0.022976001103719074,0.04023039937019348,0.5711104404482221,12.413503581954183,51.34261591800903,12,20,1.0,0.0048828125,0,True
14,b1_l4096_h128,1,4096,128,0.03522133330504099,0.049881601333618165,0.7060986889629634,32.39090008658808,133.96971543166026,12,20,1.0,0.0029296875,0,True
15,b1_l8192_h128,1,8192,128,0.04866133133570353,0.07627519965171814,0.637970553441972,46.88941534005837,193.93600094693258,12,20,1.0,0.001953125,0,True
16,b1_l16384_h128,1,16384,128,0.07206400235493977,0.1047551989555359,0.6879276930735234,63.324303436876654,261.9111814944347,12,20,1.0,0.0010986328125,0,True
17,b4_l1024_h128,4,1024,128,0.03264000018437704,0.04659200012683869,0.7005494525995936,34.95253313589325,144.56470506573493,12,20,1.0,0.005859375,0,True
18,b4_l4096_h128,4,4096,128,0.06022400160630544,0.1015936017036438,0.5927932526891152,75.77382157087038,313.4027546589308,12,20,1.0,0.00244140625,0,True
19,b4_l8192_h128,4,8192,128,0.09160533547401428,0.15512319803237914,0.5905327935212716,99.631811365278,412.0801021541829,12,20,1.0,0.001953125,0,True
20,b4_l16384_h128,4,16384,128,0.1541973352432251,0.2836735963821411,0.5435730967203005,118.37825199253565,489.6159319544214,12,20,1.0,0.00146484375,0,True
21,b16_l1024_h128,16,1024,128,0.06028800209363302,0.10176000595092774,0.5924528161162453,75.69338166012867,313.0700528222233,12,20,1.0,0.0078125,0,True
22,b16_l4096_h128,16,4096,128,0.16040533781051636,0.261900806427002,0.6124659942779717,113.79678043858259,470.66683085810814,12,20,1.0,0.0029296875,0,True
23,b16_l8192_h128,16,8192,128,0.27897600332895917,0.39512319564819337,0.7060481551109735,130.86151346484058,541.2470685586237,12,20,1.0,0.001953125,0,True
24,b16_l16384_h128,16,16384,128,0.5257600148518881,0.7537407875061035,0.6975342499262462,138.87409078183495,574.3873240057512,12,20,1.0,0.001953125,0,True
