case_id,name,batch_size,seq_len_kv,head_dim,num_kv_heads,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,kv_bandwidth_GB_s,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
1,b1_l1024_d128,1,1024,128,4,64,2.310826619466146,0.03298560082912445,70.05561703838404,0.00726026602717426,0.9075332533967825,3,20,1.0,0.0009765625,0,True
2,b4_l1024_d128,4,1024,128,4,256,2.430037339528402,0.041715198755264284,58.253044742397186,0.0276163921057377,3.4520490132172124,3,20,1.0,0.001953125,0,True
3,b16_l1024_d128,16,1024,128,4,1024,2.6418347358703613,0.06799359917640686,38.854168155096765,0.10160948084875682,12.701185106094602,3,20,1.0,0.001953125,0,True
4,b64_l1024_d128,64,1024,128,4,4096,3.2147626876831055,0.16312320232391359,19.707574654521277,0.3340034485636794,41.75043107045993,3,20,1.0,0.0009765625,0,True
5,b128_l1024_d128,128,1024,128,4,8192,5.725866953531901,0.25629439353942873,22.340976228381777,0.3750495192130446,46.88118990163058,3,20,1.0,0.001953125,0,True
6,b1_l4096_d128,1,4096,128,4,256,9.522005081176758,0.04387840032577515,217.0089385775379,0.007047766035397503,0.8809707544246879,3,20,1.0,0.00048828125,0,True
7,b4_l4096_d128,4,4096,128,4,1024,10.026410420735678,0.060684800148010254,165.22111626439008,0.026772837409971478,3.3466046762464345,3,20,1.0,0.00048828125,0,True
8,b16_l4096_d128,16,4096,128,4,4096,10.604543685913086,0.16179200410842895,65.5443001917832,0.10125299643268407,12.656624554085507,3,20,1.0,0.00048828125,0,True
9,b1_l16384_d128,1,16384,128,4,1024,39.71874237060547,0.06417919993400574,618.8725071588225,0.006758407743510535,0.8448009679388169,3,20,1.0,0.000244140625,0,True
10,b4_l16384_d128,4,16384,128,4,4096,40.213844299316406,0.14841599464416505,270.95357475271555,0.026700800251973238,3.3376000314966547,3,20,1.0,0.000244140625,0,True
11,b16_l16384_d128,16,16384,128,4,16384,42.2919667561849,0.5355648040771485,78.96703897310756,0.10155515634353637,12.694394542942046,3,20,1.0,0.000244140625,0,True
12,b1_l512_d64,1,512,64,8,32,0.8094720045725504,0.03115519881248474,25.981923897984334,0.005181530647517382,1.2953826618793454,3,20,1.0,0.0009765625,0,True
13,b16_l1024_d64,16,1024,64,8,1024,1.944661299387614,0.08023040294647217,24.23845858888489,0.06901856279150821,17.254640697877054,3,20,1.0,0.0009765625,0,True
14,b64_l4096_d64,64,4096,64,8,16384,10.244010925292969,0.5932672023773193,17.267111487443653,0.20963308841244563,52.40827210311141,3,20,1.0,0.00048828125,0,True
15,b4_l16384_d64,4,16384,64,8,4096,29.21258544921875,0.20853760242462158,140.08305988737925,0.018378069032378572,4.594517258094643,3,20,1.0,0.000244140625,0,True
16,b1_l1024_d256,1,1024,256,4,64,3.502079963684082,0.041740798950195314,83.90064521435556,0.009581286649063762,1.1976608311329702,3,20,1.0,0.0009765625,0,True
17,b16_l1024_d256,16,1024,256,4,1024,4.096682548522949,0.1422719955444336,28.79472191871728,0.13105016208628803,16.381270260786003,3,20,1.0,0.0009765625,0,True
18,b64_l1024_d256,64,1024,256,4,4096,4.731904029846191,0.4578432083129883,10.335206341231544,0.4538307696975425,56.728846212192806,3,20,1.0,0.0009765625,0,True
19,b4_l4096_d256,4,4096,256,4,1024,15.843242645263672,0.12519680261611937,126.54670338381165,0.03388642868260919,4.235803585326149,3,20,1.0,0.00048828125,0,True
20,b4_l16384_d256,4,16384,256,4,4096,63.24454243977865,0.4062975883483887,155.66063952500807,0.03395524048647882,4.244405060809853,3,20,1.0,0.000244140625,0,True
21,odd_b3_l1023_d128,3,1023,128,4,192,2.1415252685546875,0.03566080033779144,60.05264178788527,0.02347975844055092,2.934969805068865,3,20,1.0,0.0009765625,0,True
22,odd_b5_l257_d256,5,257,256,4,85,0.8002560138702393,0.042752000689506534,18.71856289679238,0.05261676172398948,6.5770952154986855,3,20,1.0,0.001953125,0,True
